Progress,Duration,Q_RecaptchaScore,Follow_Sports,Follow_Sports_Others,Special_Events,Freind_Family_Invitation,Famous_Player,Storyline_Rivalry,Halftime_Entertainment_Or_Shows,Lack_of_Interest_in_Sports,Time_Consuming,Rules_Complicated,No_Introduces,Matches_Excitement,Supporting_Favorite_Team,Specific_Players,Community_Camaraderie,Sports_Related_Content_n_News_Engagement,Info_about_MLS,Info_about_MLS_Others,Follow_MLS_or_not,Follow_MLS_Since,Why_Follow_MLS,MLS_Fan_Time,Favorite_MLS_team_ and_why,Favorite_Players,Watch_MLS games,Watch_MLS games_Others,MLS_Ticket_Plan,MLS_Season_Ticket_Price,MLS_Monthly_Ticket_Price,MLS_Single_Game_Ticket_Price,MLS_Ticket_Plan_Others,MLS_online_livestream_plan ,MLS_online_livestream_Season_Payment_Price,MLS_online_livestream_Monthly_Payment_Price,MLS_online_livestream_Single_Game_Payment_Price,MLS_online_livestream_plan_Other_Price,MLS_Improvements,MLS_Improvements.1,No_MLS_Lack_of_interest_in _sports,No_MLS_Unfamiliar_with_rules_of_soccer,No_MLS_have_other_preferred _sports,No_MLS_have_other_preferred _sports_name,Potential_Reason_to_MLS,Potential_Reason_to_MLS_Others,Watch_Other_Pro_Sports,Other_Watch_Other_Pro_Sports,How_Watch_Other_Pro_Sports,Other_How_Watch_Other_Pro_Sports,Other_Ticket_Plan,Other_Ticket_Plan_Season_Ticket_Price,Other_Ticket_Plan_Monthly_Ticke_Price,Other_Ticket_Plan_Single_Game_Ticket_Price,Other_Ticket_Plan_Others,Other_online_livestream_plan,Other_online_livestream_plan_Season_Payment_Price,Other_online_livestream_plan_Montly_Payment_Price,Other_online_livestream_plan_Single_Game_Payment_Price,Other_online_livestream_plan_Others_Price,Age,Gender,Ethnicity,Ethnicity_Other,Employment_Status,Employment_Status_Other,Annual_Household_Income,Additional_Comments,Follow_Sports_Dummy,All_Watching_Source,",",",go to the court/stadium..., etc.,watch tv",",go to the court/stadium..., etc.,watch tv,watch online livestreams",",other, please specify",",watch online livestreams",",watch tv",",watch tv,other, please specify",",watch tv,watch online livestreams","go to the court/stadium..., etc.,go to the court/stadium..., etc.","go to the court/stadium..., etc.,watch tv,","go to the court/stadium..., etc.,watch tv,go to the court/stadium..., etc.,watch online livestreams","go to the court/stadium..., etc.,watch tv,go to the court/stadium..., etc.,watch tv","go to the court/stadium..., etc.,watch tv,go to the court/stadium..., etc.,watch tv,watch online livestreams","go to the court/stadium..., etc.,watch tv,watch online livestreams,go to the court/stadium..., etc.,watch tv","go to the court/stadium..., etc.,watch tv,watch online livestreams,go to the court/stadium..., etc.,watch tv,watch online livestreams","go to the court/stadium..., etc.,watch tv,watch online livestreams,watch online livestreams","go to the court/stadium..., etc.,watch tv,watch tv","go to the court/stadium..., etc.,watch tv,watch tv,watch online livestreams","other, please specify,","watch online livestreams,","watch online livestreams,watch online livestreams","watch online livestreams,watch tv","watch online livestreams,watch tv,watch online livestreams","watch tv,go to the court/stadium..., etc.,watch tv","watch tv,go to the court/stadium..., etc.,watch tv,watch online livestreams","watch tv,watch online livestreams,","watch tv,watch online livestreams,watch online livestreams","watch tv,watch online livestreams,watch tv","watch tv,watch online livestreams,watch tv,watch online livestreams","watch tv,watch tv","watch tv,watch tv,watch online livestreams"
100,69,0.899999976,No,,2.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,4.0,2.0,3.0,,"Rooting for local teams,The fast-paced nature of MLS games",,None,,,,,,,,,,,,,,2,0,White or Caucasian,,Employed part-time,,2.0,,0,",",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,58,0.899999976,No,,4.0,2.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,5.0,4.0,1.0,,"Marketing and advertising campaigns,Other (please specify)",interesting halftime performers,None,,,,,,,,,,,,,,1,1,White or Caucasian,,Employed full-time,,4.0,,0,",",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,91,0.899999976,"Baseball,Ice Hockey,Soccer",,,,,,,,,,,5.0,5.0,5.0,5.0,4.0,social media,,0.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,4.0,"Hockey, baseball, football",Rooting for local teams,,"MLB,NHL,NFL",,"go to the court/stadium..., etc.,watch tv",,Single Game Ticket,,,50,,,,,,,2,1,White or Caucasian,,Employed full-time,,5.0,,1,",go to the court/stadium..., etc.,watch tv",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,121,0.899999976,"Basketball,Ice Hockey",,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,"television broadcasts,online news websites",,0.0,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,,The fast-paced nature of MLS games,,"MLB,NBA,NHL,NFL",,watch tv,,,,,,,,,,,,3,1,White or Caucasian,,Employed full-time,,6.0,,1,",watch tv",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,147,0.899999976,No,,4.0,5.0,2.0,2.0,3.0,5.0,4.0,3.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,,Rooting for local teams,,NFL,,watch tv,,,,,,,,,,,,3,0,White or Caucasian,,Employed part-time,,6.0,,0,",watch tv",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,124,0.899999976,"Baseball,Tennis",,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,television broadcasts,,1.0,2012.0,the world cup,2.0,,,watch tv,,,,,,,,,,,,Lower ticket prices,,,,,,,,NFL,,watch tv,,,,,,,,,,,,3,0,White or Caucasian,,Employed full-time,,5.0,,1,"watch tv,watch tv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,153,0.899999976,"Basketball,Ice Hockey,Soccer",,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,"online news websites,social media,mls official website or app",,1.0,2023.0,messi,1.0,Inter miami because Messi plays in that team.,Messi,watch online livestreams,,,,,,,Season Payment,free,,,,"Lower ticket prices, Enhanced stadium amenities and services, Increased accessibility to watch games (TV, online streaming)",,,,,,,,"MLB,NBA,NHL,NFL",,watch online livestreams,,,,,,,Season Payment,free,,,,2,1,American Indian or Alaska Native,,Unemployed,,3.0,,1,"watch online livestreams,watch online livestreams",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,168,0.899999976,No,,4.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,,Marketing and advertising campaigns,,None,,,,,,,,,,,,,,2,0,White or Caucasian,,Employed full-time,,2.0,,0,",",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,89,0.899999976,No,,4.0,4.0,3.0,5.0,4.0,5.0,5.0,1.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,5.0,1.0,3.0,,"Rooting for local teams,Marketing and advertising campaigns",,None,,,,,,,,,,,,,,2,1,White or Caucasian,,Unemployed,,5.0,,0,",",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,140,0.899999976,"Baseball,Golf,Others(Please specify, and the answer can be more than one sport)",Football,,,,,,,,,,4.0,5.0,5.0,4.0,4.0,"television broadcasts,online news websites,social media",,0.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,,"Pure love of soccer,Rooting for local teams,The fast-paced nature of MLS games",,"MLB,NHL,NFL,PGA",,"watch tv,watch online livestreams",,,,,,,Season Payment,300,,,,3,1,White or Caucasian,,Employed full-time,,5.0,,1,",watch tv,watch online livestreams",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
