Progress,Duration,Q_RecaptchaScore,Follow_Sports,Follow_Sports_Others,Special_Events,Freind_Family_Invitation,Famous_Player,Storyline_Rivalry,Halftime_Entertainment_Or_Shows,Lack_of_Interest_in_Sports,Time_Consuming,Rules_Complicated,No_Introduces,Matches_Excitement,Supporting_Favorite_Team,Specific_Players,Community_Camaraderie,Sports_Related_Content_n_News_Engagement,Info_about_MLS,Info_about_MLS_Others,Follow_MLS_or_not,No_MLS_Lack_of_interest_in _sports,No_MLS_Unfamiliar_with_rules_of_soccer,No_MLS_have_other_preferred _sports,No_MLS_have_other_preferred _sports_name,Potential_Reason_to_MLS,Potential_Reason_to_MLS_Others,Watch_Other_Pro_Sports,Other_Watch_Other_Pro_Sports,How_Watch_Other_Pro_Sports,Other_How_Watch_Other_Pro_Sports,Other_Ticket_Plan,Other_Ticket_Plan_Season_Ticket_Price,Other_Ticket_Plan_Monthly_Ticke_Price,Other_Ticket_Plan_Single_Game_Ticket_Price,Other_Ticket_Plan_Others,Other_online_livestream_plan,Other_online_livestream_plan_Season_Payment_Price,Other_online_livestream_plan_Montly_Payment_Price,Other_online_livestream_plan_Single_Game_Payment_Price,Other_online_livestream_plan_Others_Price,Age,Gender,Ethnicity,Ethnicity_Other,Employment_Status,Employment_Status_Other,Annual_Household_Income
100,69,0.899999976,,,2,4,2,2,4,3,4,2,2,,,,,,,,0,4,2,3,,"Rooting for local teams,The fast-paced nature of MLS games",,,,,,,,,,,,,,,,2,0,White or Caucasian,,Employed part-time,,2
100,58,0.899999976,,,4,2,1,1,4,5,5,1,1,,,,,,,,0,5,4,1,,"Marketing and advertising campaigns,Other (please specify)",interesting halftime performers,,,,,,,,,,,,,,,1,1,White or Caucasian,,Employed full-time,,4
100,147,0.899999976,,,4,5,2,2,3,5,4,3,1,,,,,,,,0,4,4,1,,Rooting for local teams,,NFL,,Watch TV,,,,,,,,,,,,3,0,White or Caucasian,,Employed part-time,,6
100,168,0.899999976,,,4,4,1,1,4,4,3,1,1,,,,,,,,0,4,4,1,,Marketing and advertising campaigns,,,,,,,,,,,,,,,,2,0,White or Caucasian,,Employed full-time,,2
100,89,0.899999976,,,4,4,3,5,4,5,5,1,1,,,,,,,,0,5,1,3,,"Rooting for local teams,Marketing and advertising campaigns",,,,,,,,,,,,,,,,2,1,White or Caucasian,,Unemployed,,5
100,87,0.899999976,,,4,4,2,2,3,4,3,2,1,,,,,,,,0,4,2,1,,Rooting for local teams,,,,,,,,,,,,,,,,4,0,White or Caucasian,,Employed full-time,,4
100,149,0.899999976,,,4,4,2,4,4,2,4,2,1,,,,,,,,0,2,4,1,,Other (please specify),curiosity about what the fuss is all about,NFL,,Watch TV,,,,,,,,,,,,5,0,White or Caucasian,,Other (please specify),self employed,2
100,89,0.899999976,,,4,4,1,1,4,5,5,1,1,,,,,,,,0,5,3,3,,Rooting for local teams,,,,,,,,,,,,,,,,3,0,White or Caucasian,,Unemployed,,4
100,123,0.899999976,,,4,4,3,4,4,4,4,4,3,,,,,,,,0,4,4,3,,Marketing and advertising campaigns,,"MLB,NBA,NHL,NFL,PGA,WNBA",,"Go to the court/stadium..., etc.,Watch TV",,Single Game Ticket,,,100,,,,,,,2,0,White or Caucasian,,Employed full-time,,6
100,147,0.899999976,,,4,4,3,3,2,5,4,3,3,,,,,,,,0,5,5,3,,Rooting for local teams,,,,,,,,,,,,,,,,3,0,White or Caucasian,,Employed part-time,,3
100,73,0.5,,,4,4,1,2,1,5,3,1,1,,,,,,,,0,5,1,1,,"Rooting for local teams,The fast-paced nature of MLS games",,,,,,,,,,,,,,,,3,1,White or Caucasian,,Unemployed,,3
100,111,0.800000012,,,4,4,4,4,4,3,4,2,1,,,,,,,,0,3,3,1,,The fast-paced nature of MLS games,,,,,,,,,,,,,,,,3,1,"White or Caucasian,Asian",,Employed full-time,,5
100,122,0.899999976,,,5,3,1,1,3,5,5,4,3,,,,,,,,0,5,4,5,rugby,Other (please specify),Nothing,"Other, please specify",Rugby Union,"Watch TV,Watch online livestreams",,,,,,,Others,,,,"I'm not sure, someone else pays for it",2,0,"White or Caucasian,Asian",,Student,,1
100,257,0.300000012,,,3,5,3,3,3,2,5,2,3,,,,,,,,0,4,2,4,"mma, american football",Other (please specify),betting,"NFL,Other, please specify",ufc,"Watch TV,Watch online livestreams",,,,,,,"Season Payment,Monthly Payment,Single Game Payment,Others",0,0,0,0,2,1,White or Caucasian,,Employed full-time,,2
100,126,0.899999976,,,1,1,1,1,1,5,3,3,3,,,,,,,,0,5,3,1,,Pure love of soccer,,,,,,,,,,,,,,,,3,0,White or Caucasian,,Unemployed,,3.562130178
100,336,0.699999988,,,5,5,1,5,3,1,1,1,1,,,,,,,,0,1,1,1,,"Pure love of soccer,Rooting for local teams,The fast-paced nature of MLS games",,"MLB,NHL,NFL,PGA",,Watch TV,,,,,,,,,,,,5,1,White or Caucasian,,Employed full-time,,2
100,130,0.300000012,,,4,4,4,4,4,2,1,1,1,,,,,,,,0,2,1,3,,Rooting for local teams,,MLB,,"Watch TV,Watch online livestreams",,,,,,,Others,,,,Free,4,0,White or Caucasian,,Employed full-time,,3
100,451,0.899999976,,,4,4,1,2,1,4,4,1,1,,,,,,,,0,5,1,5,formula 1,The diverse composition of MLS teams,,,,,,,,,,,,,,,,6,1,White or Caucasian,,Retired,,2
100,186,0.899999976,,,2,2,1,4,4,4,4,4,3,,,,,,,,0,5,4,3,,The diverse composition of MLS teams,,,,,,,,,,,,,,,,4,0,White or Caucasian,,Unemployed,,4
100,105,0.699999988,,,4,4,4,4,3,2,2,1,2,,,,,,,,0,4,1,3,,Rooting for local teams,,NFL,,Watch TV,,,,,,,,,,,,5,0,White or Caucasian,,Employed part-time,,2
100,90,0.300000012,,,2,3,2,2,2,2,5,4,4,,,,,,,,0,5,4,1,,Pure love of soccer,,,,,,,,,,,,,,,,2,0,White or Caucasian,,Unemployed,,1
100,117,0.899999976,,,4,4,1,1,2,5,5,1,1,,,,,,,,0,5,1,4,NFL,Other (please specify),Not a fan,"NBA,NFL",,"Watch TV,Watch online livestreams",,,,,,,Others,,,,,2,1,Asian,,Unemployed,,3
100,122,0.899999976,,,4,5,2,4,5,2,4,4,2,,,,,,,,0,4,4,3,,Marketing and advertising campaigns,,,,,,,,,,,,,,,,2,0,White or Caucasian,,Unemployed,,2
100,125,0.899999976,,,4,4,2,3,4,4,5,4,1,,,,,,,,0,5,4,1,,Rooting for local teams,,,,,,,,,,,,,,,,4,0,White or Caucasian,,Employed full-time,,6
100,146,0.899999976,,,4,4,4,3,4,4,4,4,3,,,,,,,,0,4,4,3,,Marketing and advertising campaigns,,,,,,,,,,,,,,,,3,0,White or Caucasian,,Other (please specify),homemaker,4
100,89,0.899999976,,,2,3,2,2,3,5,5,5,3,,,,,,,,0,5,5,1,,Rooting for local teams,,,,,,,,,,,,,,,,2,0,White or Caucasian,,Employed part-time,,2
