Progress,Duration,Q_RecaptchaScore,Follow_Sports,Follow_Sports_Others,Special_Events,Freind_Family_Invitation,Famous_Player,Storyline_Rivalry,Halftime_Entertainment_Or_Shows,Lack_of_Interest_in_Sports,Time_Consuming,Rules_Complicated,No_Introduces,Matches_Excitement,Supporting_Favorite_Team,Specific_Players,Community_Camaraderie,Sports_Related_Content_n_News_Engagement,Info_about_MLS,Info_about_MLS_Others,Follow_MLS_or_not,Follow_MLS_Since,Why_Follow_MLS,MLS_Fan_Time,Favorite_MLS_team_ and_why,Favorite_Players,Watch_MLS games,Watch_MLS games_Others,MLS_Ticket_Plan,MLS_Season_Ticket_Price,MLS_Monthly_Ticket_Price,MLS_Single_Game_Ticket_Price,MLS_Ticket_Plan_Others,MLS_online_livestream_plan ,MLS_online_livestream_Season_Payment_Price,MLS_online_livestream_Monthly_Payment_Price,MLS_online_livestream_Single_Game_Payment_Price,MLS_online_livestream_plan_Other_Price,MLS_Improvements,MLS_Improvements.1,No_MLS_Lack_of_interest_in _sports,No_MLS_Unfamiliar_with_rules_of_soccer,No_MLS_have_other_preferred _sports,No_MLS_have_other_preferred _sports_name,Potential_Reason_to_MLS,Potential_Reason_to_MLS_Others,Watch_Other_Pro_Sports,Other_Watch_Other_Pro_Sports,How_Watch_Other_Pro_Sports,Other_How_Watch_Other_Pro_Sports,Other_Ticket_Plan,Other_Ticket_Plan_Season_Ticket_Price,Other_Ticket_Plan_Monthly_Ticke_Price,Other_Ticket_Plan_Single_Game_Ticket_Price,Other_Ticket_Plan_Others,Other_online_livestream_plan,Other_online_livestream_plan_Season_Payment_Price,Other_online_livestream_plan_Montly_Payment_Price,Other_online_livestream_plan_Single_Game_Payment_Price,Other_online_livestream_plan_Others_Price,Age,Gender,Ethnicity,Ethnicity_Other,Employment_Status,Employment_Status_Other,Annual_Household_Income,Additional_Comments,All_Sports,alpine skiing,baseball,basketball,boxing,cricket,curling,equestrain,figure skating,football,formula 1,golf,gymnastics,ice hockey,mma,sailing,skateboarding,soccer,swboarding,swimming,tennis,ufc,volleyball
100,91,0.899999976,"baseball,ice hockey,soccer",,,,,,,,,,,5,5,5,5,4,Social media,,0,,,,,,,,,,,,,,,,,,,,2,1,4,"Hockey, baseball, football",Rooting for local teams,,"MLB,NHL,NFL",,"Go to the court/stadium..., etc.,Watch TV",,Single Game Ticket,,,50,,,,,,,2,1,White or Caucasian,,Employed full-time,,5,,"['baseball', 'ice hockey', 'soccer']",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
100,121,0.899999976,"basketball,ice hockey",,,,,,,,,,,1,2,1,1,1,"Television broadcasts,Online news websites",,0,,,,,,,,,,,,,,,,,,,,2,4,1,,The fast-paced nature of MLS games,,"MLB,NBA,NHL,NFL",,Watch TV,,,,,,,,,,,,3,1,White or Caucasian,,Employed full-time,,6,,"['basketball', 'ice hockey']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,140,0.899999976,"baseball,golf,others(please specify, and the answer can be more than one sport)",football,,,,,,,,,,4,5,5,4,4,"Television broadcasts,Online news websites,Social media",,0,,,,,,,,,,,,,,,,,,,,2,2,3,,"Pure love of soccer,Rooting for local teams,The fast-paced nature of MLS games",,"MLB,NHL,NFL,PGA",,"Watch TV,Watch online livestreams",,,,,,,Season Payment,300,,,,3,1,White or Caucasian,,Employed full-time,,5,,"['baseball', 'golf', 'others(please specify', 'and the answer can be more than one sport)', 'football']",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
100,178,0.699999988,baseball,,,,,,,,,,,2,3,2,3,2,Social media,,0,,,,,,,,,,,,,,,,,,,,2,3,2,,The fast-paced nature of MLS games,,NBA,,Watch TV,,,,,,,,,,,,2,1,White or Caucasian,,Employed part-time,,5,,['baseball'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,166,0.699999988,tennis,,,,,,,,,,,2,1,2,1,3,Social media,,0,,,,,,,,,,,,,,,,,,,,2,1,3,,"Rooting for local teams,The fast-paced nature of MLS games",,"NBA,PGA",,Watch TV,,,,,,,,,,,,2,0,Black or African American,,Employed full-time,,5,,['tennis'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,175,0.899999976,"basketball,baseball,soccer,others(please specify, and the answer can be more than one sport)","football, curling",,,,,,,,,,4,4,4,3,3,Social media,,0,,,,,,,,,,,,,,,,,,,,1,1,5,basketball and football mostly,"Rooting for local teams,Other (please specify)",The talent concentration in the league,"NBA,NFL",,"Go to the court/stadium..., etc.,Watch TV,Watch online livestreams",,Single Game Ticket,,,80,,Monthly Payment,,70/month for YouTube TV,,,2,1,White or Caucasian,,Employed full-time,,6,,"['basketball', 'baseball', 'soccer', 'others(please specify', 'and the answer can be more than one sport)', 'football', 'curling']",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
100,191,0.899999976,basketball,,,,,,,,,,,5,5,5,4,4,"Television broadcasts,Online news websites,Social media",,0,,,,,,,,,,,,,,,,,,,,3,5,5,"NFL, F1",The fast-paced nature of MLS games,,NFL,,"Watch TV,Watch online livestreams",,,,,,,Season Payment,$10,,,,4,1,White or Caucasian,,Unemployed,,2,,['basketball'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,179,0.899999976,"others(please specify, and the answer can be more than one sport)",boxing,,,,,,,,,,5,4,4,3,2,Social media,,0,,,,,,,,,,,,,,,,,,,,5,2,5,,The fast-paced nature of MLS games,,"Other, please specify",boxing,"Watch TV,Watch online livestreams",,,,,,,Season Payment,11.99,,,,4,1,White or Caucasian,,Employed full-time,,5,,"['others(please specify', 'and the answer can be more than one sport)', 'boxing']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,159,0.5,"others(please specify, and the answer can be more than one sport)","football, sailing",,,,,,,,,,2,2,2,2,4,Social media,,0,,,,,,,,,,,,,,,,,,,,4,1,4,"Football, sailing",Rooting for local teams,,NFL,,"Go to the court/stadium..., etc.,Watch TV",,Single Game Ticket,,,80,,,,,,,2,1,White or Caucasian,,Employed full-time,,2,,"['others(please specify', 'and the answer can be more than one sport)', 'football', 'sailing']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
100,113,0.899999976,baseball,,,,,,,,,,,4,5,5,4,3,"Online news websites,Social media",,0,,,,,,,,,,,,,,,,,,,,2,3,4,,Rooting for local teams,,MLB,,"Go to the court/stadium..., etc.,Watch TV,Watch online livestreams",,Single Game Ticket,,,20,,Others,,,,0,2,1,Asian,,Unemployed,,3,,['baseball'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,159,0.899999976,"basketball,baseball,others(please specify, and the answer can be more than one sport)",football,,,,,,,,,,4,4,5,2,2,Never,,0,,,,,,,,,,,,,,,,,,,,1,1,5,,The fast-paced nature of MLS games,,"MLB,NBA,NHL,NFL",,"Go to the court/stadium..., etc.,Watch TV,Watch online livestreams",,Single Game Ticket,,,20,,Monthly Payment,,15,,,2,1,White or Caucasian,,Employed full-time,,6,,"['basketball', 'baseball', 'others(please specify', 'and the answer can be more than one sport)', 'football']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,127,0.899999976,"basketball,baseball,ice hockey,golf,tennis",,,,,,,,,,,5,5,5,5,5,Never,,0,,,,,,,,,,,,,,,,,,,,5,5,5,,Other (please specify),no internets in soccer,"MLB,NBA,NHL,NFL,PGA",,"Go to the court/stadium..., etc.,Watch TV",,Season Ticket,3000,,,,,,,,,4,1,White or Caucasian,,Employed full-time,,5,,"['basketball', 'baseball', 'ice hockey', 'golf', 'tennis']",0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
100,191,0.899999976,"basketball,others(please specify, and the answer can be more than one sport)",football (nfl),,,,,,,,,,5,5,5,4,4,"Online news websites,Social media,Word of mouth (friends, family)",,0,,,,,,,,,,,,,,,,,,,,1,2,5,"NFL, NBA","Rooting for local teams,Marketing and advertising campaigns,The fast-paced nature of MLS games",,"NBA,NFL",,Watch TV,,,,,,,,,,,,3,1,White or Caucasian,,Employed full-time,,6,,"['basketball', 'others(please specify', 'and the answer can be more than one sport)', 'football']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,137,0.899999976,"basketball,tennis,soccer",,,,,,,,,,,4,4,4,3,3,"Television broadcasts,Word of mouth (friends, family)",,0,,,,,,,,,,,,,,,,,,,,4,1,1,,"Pure love of soccer,Rooting for local teams,The fast-paced nature of MLS games,The diverse composition of MLS teams",,NFL,,Watch TV,,,,,,,,,,,,4,1,White or Caucasian,,Employed full-time,,6,,"['basketball', 'tennis', 'soccer']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
